00:36:40.538 [ApplicationImpl pooled thread 14] INFO  c.b.l.BrowserStackRunExtension - maven
00:36:40.542 [ApplicationImpl pooled thread 14] INFO  com.browserstack.utils.Helpers - null
00:37:56.798 [AWT-EventQueue-0] INFO  c.b.actions.EnableBrowserStack - Setting enable browserstack run update
00:37:56.818 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
00:47:02.121 [ApplicationImpl pooled thread 35] INFO  c.b.l.BrowserStackRunExtension - application
00:47:02.121 [ApplicationImpl pooled thread 35] INFO  com.browserstack.utils.Helpers - null
00:50:37.488 [ApplicationImpl pooled thread 38] INFO  c.b.l.BrowserStackRunExtension - application
00:50:37.488 [ApplicationImpl pooled thread 38] INFO  com.browserstack.utils.Helpers - null
00:52:47.946 [ApplicationImpl pooled thread 40] INFO  c.b.l.BrowserStackRunExtension - application
00:52:47.946 [ApplicationImpl pooled thread 40] INFO  com.browserstack.utils.Helpers - null
01:00:55.593 [ApplicationImpl pooled thread 52] INFO  c.b.l.BrowserStackRunExtension - application
01:00:55.593 [ApplicationImpl pooled thread 52] INFO  com.browserstack.utils.Helpers - null
01:01:58.317 [ApplicationImpl pooled thread 57] INFO  c.b.l.BrowserStackRunExtension - application
01:01:58.317 [ApplicationImpl pooled thread 57] INFO  com.browserstack.utils.Helpers - null
01:02:58.530 [ApplicationImpl pooled thread 47] INFO  c.b.l.BrowserStackRunExtension - application
01:02:58.531 [ApplicationImpl pooled thread 47] INFO  com.browserstack.utils.Helpers - null
01:07:03.532 [ApplicationImpl pooled thread 59] INFO  c.b.l.BrowserStackRunExtension - application
01:07:03.532 [ApplicationImpl pooled thread 59] INFO  com.browserstack.utils.Helpers - null
01:08:50.631 [ApplicationImpl pooled thread 66] INFO  c.b.l.BrowserStackRunExtension - application
01:08:50.631 [ApplicationImpl pooled thread 66] INFO  com.browserstack.utils.Helpers - null
01:10:07.987 [ApplicationImpl pooled thread 65] INFO  c.b.l.BrowserStackRunExtension - application
01:10:07.987 [ApplicationImpl pooled thread 65] INFO  com.browserstack.utils.Helpers - null
01:10:36.414 [ApplicationImpl pooled thread 82] INFO  c.b.l.BrowserStackRunExtension - application
01:10:36.414 [ApplicationImpl pooled thread 82] INFO  com.browserstack.utils.Helpers - null
01:18:24.598 [ApplicationImpl pooled thread 84] INFO  c.b.l.BrowserStackRunExtension - application
01:18:24.598 [ApplicationImpl pooled thread 84] INFO  com.browserstack.utils.Helpers - null
01:24:30.779 [ApplicationImpl pooled thread 98] INFO  c.b.l.BrowserStackRunExtension - application
01:24:30.780 [ApplicationImpl pooled thread 98] INFO  com.browserstack.utils.Helpers - null
01:24:55.546 [ApplicationImpl pooled thread 97] INFO  c.b.l.BrowserStackRunExtension - application
01:24:55.547 [ApplicationImpl pooled thread 97] INFO  com.browserstack.utils.Helpers - null
01:26:45.677 [ApplicationImpl pooled thread 103] INFO  c.b.l.BrowserStackRunExtension - application
01:26:45.677 [ApplicationImpl pooled thread 103] INFO  com.browserstack.utils.Helpers - null
01:29:59.010 [ApplicationImpl pooled thread 108] INFO  c.b.l.BrowserStackRunExtension - application
01:29:59.013 [ApplicationImpl pooled thread 108] INFO  com.browserstack.utils.Helpers - null
01:32:08.329 [ApplicationImpl pooled thread 107] INFO  c.b.l.BrowserStackRunExtension - application
01:32:08.329 [ApplicationImpl pooled thread 107] INFO  com.browserstack.utils.Helpers - null
01:33:57.170 [ApplicationImpl pooled thread 107] INFO  c.b.l.BrowserStackRunExtension - application
01:33:57.175 [ApplicationImpl pooled thread 107] INFO  com.browserstack.utils.Helpers - null
01:37:47.981 [ApplicationImpl pooled thread 121] INFO  c.b.l.BrowserStackRunExtension - application
01:37:47.981 [ApplicationImpl pooled thread 121] INFO  com.browserstack.utils.Helpers - null
01:42:17.760 [ApplicationImpl pooled thread 129] INFO  c.b.l.BrowserStackRunExtension - application
01:42:17.760 [ApplicationImpl pooled thread 129] INFO  com.browserstack.utils.Helpers - null
01:43:00.860 [ApplicationImpl pooled thread 133] INFO  c.b.l.BrowserStackRunExtension - application
01:43:00.860 [ApplicationImpl pooled thread 133] INFO  com.browserstack.utils.Helpers - null
01:43:26.621 [ApplicationImpl pooled thread 130] INFO  c.b.l.BrowserStackRunExtension - application
01:43:26.621 [ApplicationImpl pooled thread 130] INFO  com.browserstack.utils.Helpers - null
01:47:28.253 [ApplicationImpl pooled thread 136] INFO  c.b.l.BrowserStackRunExtension - application
01:47:28.253 [ApplicationImpl pooled thread 136] INFO  com.browserstack.utils.Helpers - null
01:48:23.549 [ApplicationImpl pooled thread 130] INFO  c.b.l.BrowserStackRunExtension - application
01:48:23.549 [ApplicationImpl pooled thread 130] INFO  com.browserstack.utils.Helpers - null
01:55:01.412 [ApplicationImpl pooled thread 133] INFO  c.b.l.BrowserStackRunExtension - application
01:55:01.412 [ApplicationImpl pooled thread 133] INFO  com.browserstack.utils.Helpers - null
02:02:09.747 [ApplicationImpl pooled thread 146] INFO  c.b.l.BrowserStackRunExtension - application
02:02:09.747 [ApplicationImpl pooled thread 146] INFO  com.browserstack.utils.Helpers - null
02:03:11.123 [ApplicationImpl pooled thread 141] INFO  c.b.l.BrowserStackRunExtension - application
02:03:11.123 [ApplicationImpl pooled thread 141] INFO  com.browserstack.utils.Helpers - null
02:07:52.708 [ApplicationImpl pooled thread 156] INFO  c.b.l.BrowserStackRunExtension - application
02:07:52.708 [ApplicationImpl pooled thread 156] INFO  com.browserstack.utils.Helpers - null
02:09:29.173 [ApplicationImpl pooled thread 158] INFO  c.b.l.BrowserStackRunExtension - application
02:09:29.173 [ApplicationImpl pooled thread 158] INFO  com.browserstack.utils.Helpers - null
02:11:19.692 [ApplicationImpl pooled thread 157] INFO  c.b.l.BrowserStackRunExtension - application
02:11:19.693 [ApplicationImpl pooled thread 157] INFO  com.browserstack.utils.Helpers - null
02:34:36.063 [ApplicationImpl pooled thread 172] INFO  c.b.l.BrowserStackRunExtension - application
02:34:36.063 [ApplicationImpl pooled thread 172] INFO  com.browserstack.utils.Helpers - null
02:35:54.897 [ApplicationImpl pooled thread 175] INFO  c.b.l.BrowserStackRunExtension - application
02:35:54.898 [ApplicationImpl pooled thread 175] INFO  com.browserstack.utils.Helpers - null
02:41:18.080 [ApplicationImpl pooled thread 180] INFO  c.b.l.BrowserStackRunExtension - application
02:41:18.081 [ApplicationImpl pooled thread 180] INFO  com.browserstack.utils.Helpers - null
02:42:34.067 [ApplicationImpl pooled thread 180] INFO  c.b.l.BrowserStackRunExtension - application
02:42:34.068 [ApplicationImpl pooled thread 180] INFO  com.browserstack.utils.Helpers - null
02:45:01.368 [ApplicationImpl pooled thread 182] INFO  c.b.l.BrowserStackRunExtension - application
02:45:01.369 [ApplicationImpl pooled thread 182] INFO  com.browserstack.utils.Helpers - null
02:46:42.963 [ApplicationImpl pooled thread 188] INFO  c.b.l.BrowserStackRunExtension - application
02:46:42.963 [ApplicationImpl pooled thread 188] INFO  com.browserstack.utils.Helpers - null
02:48:05.015 [ApplicationImpl pooled thread 179] INFO  c.b.l.BrowserStackRunExtension - application
02:48:05.015 [ApplicationImpl pooled thread 179] INFO  com.browserstack.utils.Helpers - null
02:49:15.057 [ApplicationImpl pooled thread 179] INFO  c.b.l.BrowserStackRunExtension - application
02:49:15.058 [ApplicationImpl pooled thread 179] INFO  com.browserstack.utils.Helpers - null
02:50:53.140 [ApplicationImpl pooled thread 184] INFO  c.b.l.BrowserStackRunExtension - application
02:50:53.140 [ApplicationImpl pooled thread 184] INFO  com.browserstack.utils.Helpers - null
02:51:53.676 [ApplicationImpl pooled thread 184] INFO  c.b.l.BrowserStackRunExtension - application
02:51:53.676 [ApplicationImpl pooled thread 184] INFO  com.browserstack.utils.Helpers - null
02:52:19.593 [ApplicationImpl pooled thread 184] INFO  c.b.l.BrowserStackRunExtension - application
02:52:19.594 [ApplicationImpl pooled thread 184] INFO  com.browserstack.utils.Helpers - null
02:53:58.859 [ApplicationImpl pooled thread 196] INFO  c.b.l.BrowserStackRunExtension - application
02:53:58.860 [ApplicationImpl pooled thread 196] INFO  com.browserstack.utils.Helpers - null
02:55:57.140 [ApplicationImpl pooled thread 194] INFO  c.b.l.BrowserStackRunExtension - application
02:55:57.141 [ApplicationImpl pooled thread 194] INFO  com.browserstack.utils.Helpers - null
03:01:16.954 [ApplicationImpl pooled thread 196] INFO  c.b.l.BrowserStackRunExtension - application
03:01:16.954 [ApplicationImpl pooled thread 196] INFO  com.browserstack.utils.Helpers - null
05:18:38.742 [ApplicationImpl pooled thread 247] INFO  c.b.l.BrowserStackRunExtension - application
05:18:38.744 [ApplicationImpl pooled thread 247] INFO  com.browserstack.utils.Helpers - null
05:21:02.420 [ApplicationImpl pooled thread 250] INFO  c.b.l.BrowserStackRunExtension - application
05:21:02.420 [ApplicationImpl pooled thread 250] INFO  com.browserstack.utils.Helpers - null
05:26:14.959 [ApplicationImpl pooled thread 250] INFO  c.b.l.BrowserStackRunExtension - application
05:26:14.959 [ApplicationImpl pooled thread 250] INFO  com.browserstack.utils.Helpers - null
05:26:50.463 [ApplicationImpl pooled thread 253] INFO  c.b.l.BrowserStackRunExtension - application
05:26:50.464 [ApplicationImpl pooled thread 253] INFO  com.browserstack.utils.Helpers - null
05:27:35.217 [ApplicationImpl pooled thread 253] INFO  c.b.l.BrowserStackRunExtension - application
05:27:35.217 [ApplicationImpl pooled thread 253] INFO  com.browserstack.utils.Helpers - null
05:35:15.050 [ApplicationImpl pooled thread 265] INFO  c.b.l.BrowserStackRunExtension - application
05:35:15.050 [ApplicationImpl pooled thread 265] INFO  com.browserstack.utils.Helpers - null
05:35:35.097 [ApplicationImpl pooled thread 267] INFO  c.b.l.BrowserStackRunExtension - application
05:35:35.097 [ApplicationImpl pooled thread 267] INFO  com.browserstack.utils.Helpers - null
05:36:21.201 [ApplicationImpl pooled thread 265] INFO  c.b.l.BrowserStackRunExtension - application
05:36:21.201 [ApplicationImpl pooled thread 265] INFO  com.browserstack.utils.Helpers - null
05:46:57.114 [ApplicationImpl pooled thread 270] INFO  c.b.l.BrowserStackRunExtension - application
05:46:57.115 [ApplicationImpl pooled thread 270] INFO  com.browserstack.utils.Helpers - null
05:47:06.268 [ApplicationImpl pooled thread 276] INFO  c.b.l.BrowserStackRunExtension - application
05:47:06.268 [ApplicationImpl pooled thread 276] INFO  com.browserstack.utils.Helpers - null
05:49:54.410 [ApplicationImpl pooled thread 276] INFO  c.b.l.BrowserStackRunExtension - application
05:49:54.411 [ApplicationImpl pooled thread 276] INFO  com.browserstack.utils.Helpers - null
22:20:53.519 [ApplicationImpl pooled thread 646] INFO  c.b.l.BrowserStackRunExtension - application
22:20:53.520 [ApplicationImpl pooled thread 646] INFO  com.browserstack.utils.Helpers - null
00:43:24.122 [ApplicationImpl pooled thread 27] INFO  c.b.l.BrowserStackRunExtension - application
00:43:24.129 [ApplicationImpl pooled thread 27] INFO  com.browserstack.utils.Helpers - null
00:47:11.413 [ApplicationImpl pooled thread 35] INFO  c.b.l.BrowserStackRunExtension - application
00:47:11.413 [ApplicationImpl pooled thread 35] INFO  com.browserstack.utils.Helpers - null
00:58:09.175 [ApplicationImpl pooled thread 33] INFO  c.b.l.BrowserStackRunExtension - application
00:58:09.175 [ApplicationImpl pooled thread 33] INFO  com.browserstack.utils.Helpers - null
01:00:03.065 [ApplicationImpl pooled thread 49] INFO  c.b.l.BrowserStackRunExtension - application
01:00:03.065 [ApplicationImpl pooled thread 49] INFO  com.browserstack.utils.Helpers - null
01:04:04.325 [ApplicationImpl pooled thread 51] INFO  c.b.l.BrowserStackRunExtension - application
01:04:04.325 [ApplicationImpl pooled thread 51] INFO  com.browserstack.utils.Helpers - null
01:07:25.782 [ApplicationImpl pooled thread 61] INFO  c.b.l.BrowserStackRunExtension - application
01:07:25.783 [ApplicationImpl pooled thread 61] INFO  com.browserstack.utils.Helpers - null
01:09:11.065 [ApplicationImpl pooled thread 66] INFO  c.b.l.BrowserStackRunExtension - application
01:09:11.073 [ApplicationImpl pooled thread 66] INFO  com.browserstack.utils.Helpers - null
01:13:37.017 [ApplicationImpl pooled thread 77] INFO  c.b.l.BrowserStackRunExtension - application
01:13:37.017 [ApplicationImpl pooled thread 77] INFO  com.browserstack.utils.Helpers - null
01:16:34.197 [ApplicationImpl pooled thread 80] INFO  c.b.l.BrowserStackRunExtension - application
